,Unnamed: 0,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,ln_access,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi,ln_road1,ln_build
0,0,万祥镇,浦东新区,0.168453716,181,135.5019598,14575,1172.243781,201,0.288152215,1.973887673,0.680005036150091,5.198497031265826,4.908986103683795,9.587063011218692,7.0666749527732815,5.303304908059076,-1.7810942494144477,-1.2442664141604136
1,1,书院镇,浦东新区,0.228179774,654,268.9447107,14419,992.3016156,641,0.272529403,13.59724824,2.6098674369753416,6.483107351457199,5.594505822045106,9.576302060306647,6.9000271090555225,6.46302945692067,-1.4776214782605432,-1.3000087697822924
2,2,周浦镇,浦东新区,0.251593235,679,583.3523454,37658,2727.592222,1334,0.499447924,0.733608642,-0.30977957784754573,6.520621127558696,6.368791369832624,10.536300694056374,7.91117452905129,7.195937226475569,-1.379941642434667,-0.6942519425848463
3,3,大团镇,浦东新区,0.211549979,633,328.8120768,11253,1290.898848,517,0.372351972,0.97728332,-0.022978679213673636,6.450470422144176,5.795486392434505,9.328390038749998,7.163094036111615,6.248042874508429,-1.5532940010833782,-0.9879157107471206
4,4,宣桥镇,浦东新区,0.193334845,451,232.1595234,43696,1004.913227,397,0.40386074,1.203494325,0.1852292628164944,6.111467339502679,5.447424736239215,10.685011843713486,6.91265647547202,5.983936280687191,-1.6433316451748323,-0.9066851634150089
5,5,康桥镇,浦东新区,0.220553399,683,498.3235505,53612,2403.818371,946,0.628679432,1.577085392,0.4555784548979363,6.52649485957079,6.211249565860306,10.889528202598388,7.78481373997222,6.852242569051878,-1.511615441078622,-0.46413379925472453
6,6,惠南镇,浦东新区,0.219412682,1167,723.3484911,22811,2170.517945,1979,0.482537106,2.017246027,0.7017332282315887,7.062191632286556,6.583891113084621,10.03499815473834,7.682721102385729,7.590346945602565,-1.51680092971218,-0.7286974575330858
7,7,新场镇,浦东新区,0.215444617,857,303.1596444,25722,1134.440886,689,0.34431447,2.851878502,1.0479779006628347,6.75343791859778,5.714259545965175,10.155101935826032,7.033895197088875,6.535241271013659,-1.5350514001477118,-1.0661998822190095
8,8,航头镇,浦东新区,0.21213686,913,443.6818654,27644,1478.42113,899,0.430679577,1.163814993,0.15170339595518145,6.816735880594968,6.095107786240166,10.227163985211284,7.298729993263638,6.80128303447162,-1.5505236465605057,-0.842390906202838
9,9,南汇新城镇,浦东新区,0.14065731,1469,266.5147439,21323,348.9762975,1417,0.223414634,9.395076824,2.240185809947483,7.292337176173877,5.585429566278199,9.967541581326234,5.855004004423288,7.256297239690681,-1.961428772414239,-1.4987258886732908
10,10,五里桥街道,黄浦区,0.456086173,123,322.6397207,84555,22083.15487,220,0.753461856,0.659743771,-0.41590374509837097,4.812184355372417,5.776536284894021,11.345157489183785,10.002570373789213,5.393627546352362,-0.7850735114442499,-0.2830768846256115
11,11,打浦桥街道,黄浦区,0.544099041,107,272.1971038,82211,36241.73038,356,0.87079932,0.193942349,-1.6401943341856864,4.672828834461906,5.606526450190151,11.317044392042519,10.49796650680952,5.87493073085203,-0.6086239880354608,-0.1383437305131841
12,12,淮海中路街道,黄浦区,0.606325915,82,268.8475096,77610,40449.37253,447,0.887485969,0.88869908,-0.11799659345822765,4.406719247264253,5.594144340054889,11.259451563848184,10.607806410128992,6.102558594613569,-0.5003376239513346,-0.11936256733500368
13,13,瑞金二路街道,黄浦区,0.476398173,96,314.2799285,76356,34234.93381,485,0.82035207,1.303944036,0.26539354540557875,4.564348191467836,5.750284080803459,11.243161893020792,10.441001858151804,6.184148890937483,-0.7415012765209402,-0.19802167721120922
14,14,华亭镇,嘉定区,0.106507705,174,93.97645108,16428,614.5258019,276,0.376562756,0.674516792,-0.3937587081660818,5.159055299214529,4.543044230458988,9.70674247507645,6.42085091657049,5.62040086571715,-2.239537949031765,-0.9766705630292687
15,15,南翔镇,嘉定区,0.242753826,498,373.8475863,43166,2904.249051,636,0.673395291,1.031344196,0.03086299607112359,6.210600077024653,5.923848191092328,10.672808427318916,7.973930133631027,6.455198563340122,-1.4157074108638463,-0.3954227651516061
16,16,嘉定镇街道,嘉定区,0.249693127,391,200.0773954,22226,2386.263577,595,0.607841219,2.553376757,0.9374167015977422,5.968707559985366,5.298704268691749,10.009018053745592,7.7774840647042325,6.38856140554563,-1.3875226071052662,-0.4978415840828689
