STREET,AREA,roads_perc,roads_nodes,gdp,housing_price,pop_density,pois,zone_perc,access,access_5k
嘉兴路街道,虹口区,0.530289497,125,175.785314,80253,33459.03859,312,0.862381504,0.231209,2.206019725
广中路街道,虹口区,0.502463278,164,233.4861596,53800,39877.74001,174,0.891167617,0.377197776,2.29017495
北外滩街道,虹口区,0.521039279,240,163.9311815,79846,20607.3124,464,0.766730765,0.210216717,3.909678587
曲阳路街道,虹口区,0.476288847,135,216.8541474,56556,35280.00971,218,0.863426905,0.148872049,2.160247597
欧阳路街道,虹口区,0.414521384,47,151.157297,56279,44656.84293,189,0.808039964,0.343187507,3.635268344
江湾镇街道,虹口区,0.4519355,244,275.653865,51352,32368.44314,193,0.888350876,0.119478565,0.630516496
亭林镇,金山区,0.136606487,880,140.7524999,12125,473.4129261,2014,0.226672414,16.61072382,39.38264015
金山卫镇,金山区,0.133030046,262,128.8297219,10155,959.3082897,650,0.272967079,9.847970847,4.533630126
吕巷镇,金山区,0.119230617,244,101.8276317,10251,698.4176613,545,0.154852054,44.56707947,127.2596763
山阳镇,金山区,0.212633312,565,161.8164829,15846,1559.817629,850,0.428782121,3.177624393,5.432475162
廊下镇,金山区,0.107377753,215,73.09532956,7886,637.0627911,395,0.129065769,29.10067817,20.84998114
张堰镇,金山区,0.165379945,226,69.4314954,10087,810.8040698,442,0.213028173,11.10589182,148.3894834
朱泾镇,金山区,0.164627573,756,207.4171266,8995,1118.877701,958,0.24530569,0.82655997,6.856267156
枫泾镇,金山区,0.116686218,654,157.8267023,10910,702.172685,990,0.212234965,6.15377862,3.656847331
漕泾镇,金山区,0.15421572,368,70.02702162,6997,566.7983708,640,0.197829968,22.62398573,5.322574379
石化街道,金山区,0.19877254,126,127.0259881,13455,2981.48631,334,0.764227327,1.488861073,6.629171718
仙霞新村街道,长宁区,0.448751781,106,326.3131807,46767,36064.71639,483,0.871125837,0.182607295,2.722616115
北新泾街道,长宁区,0.730458256,87,201.0208002,52056,34675.344,504,0.873912808,0.21832147,5.188724239
华阳路街道,长宁区,0.629690189,109,271.187109,60867,31974.46027,592,0.783832438,0.412563571,4.637219877
周家桥街道,长宁区,0.477582073,59,247.7030886,43390,32663.51444,1100,0.81422617,0.290771565,9.133036202
天山路街道,长宁区,0.56261847,99,262.4937956,58072,34123.48244,701,0.86515985,0.332765122,5.561637283
新华路街道,长宁区,0.438097633,86,270.8007396,77665,30681.38489,256,0.856351948,0.203054171,2.813163242
新泾镇,长宁区,0.403707882,518,610.7575928,45738,12682.35907,1061,0.765339123,1.444571911,15.11521211
江苏路街道,长宁区,0.659033099,53,205.7095549,68249,33926.13361,240,0.875367526,0.173611287,1.431860497
程家桥街道,长宁区,0.278623308,218,116.1080558,47317,3653.492311,391,0.67300041,1.518134285,3.2663101
虹桥街道,长宁区,0.472032891,163,277.2160829,94073,16999.4661,437,0.819184772,0.333895951,3.506654725
七宝镇,闵行区,0.28335818,461,523.8838443,60700,8324.158132,847,0.802534476,1.554528578,11.28881298
华漕镇,闵行区,0.238906037,422,179.8178882,41395,2021.980125,664,0.67202999,1.388324785,23.74914735
古美路街道,闵行区,0.30419086,113,275.1318831,61426,13932.32396,364,0.837469761,0.594354102,7.138059393
吴泾镇,闵行区,0.20676287,589,206.3457644,38660,1904.418695,1000,0.58123571,1.011828131,24.71489217
新虹街道,闵行区,0.32843978,589,115.8922229,36754,1922.931865,1081,0.705104615,0.518097921,13.93773175
梅陇镇,闵行区,0.273970645,635,477.8260115,53767,5262.218169,1029,0.759478393,0.808442315,8.099949236
江川路街道,闵行区,0.202716586,269,445.0273949,30503,6110.402277,1377,0.721863397,0.489477943,6.275370336
莘庄镇,闵行区,0.34647295,711,557.4851912,45788,9263.394241,1037,0.754110823,0.679983405,10.32183424
虹桥镇,闵行区,0.279157994,241,277.6187731,60107,8008.877762,507,0.843697448,0.675287762,3.293343949
颛桥镇,闵行区,0.242533223,633,270.8097312,34676,2051.771334,971,0.718614861,0.599290086,4.354636003
马桥镇,闵行区,0.19301619,425,171.0602578,41311,1403.299762,673,0.454737299,2.746893783,11.71549034
临汾路街道,静安区,0.365450017,51,229.3154496,39166,28638.52966,84,0.854166013,0.306127869,1.035953099
共和新路街道,静安区,0.501477541,138,299.218203,63530,29318.39201,138,0.870743156,0.800537647,4.411677284
北站街道,静安区,0.62447978,139,144.1339782,166022,21958.73642,227,0.859723259,0.185706582,1.702872166
大宁路街道,静安区,0.362217044,234,318.1856614,68386,13494.53999,340,0.886202439,0.531057321,7.044641906
天目西路街道,静安区,0.712555962,147,105.6004828,68389,14542.01958,350,0.865813516,0.222606265,1.270905231
宝山路街道,静安区,0.508808784,90,221.5788216,101069,36565.12777,116,0.913078679,0.233110013,1.086767512
彭浦新村街道,静安区,0.306717838,50,450.1984235,50091,36620.32828,165,0.892486985,0.546233663,1.024139241
彭浦镇,静安区,0.387119947,347,423.5729006,32329,14382.39914,569,0.844034347,0.644038195,7.408531606
芷江西路街道,静安区,0.592698562,94,230.392891,59955,39048.36752,109,0.912675698,0.329884847,1.092879787
华新镇,青浦区,0.235950688,720,149.5061252,17202,951.5230887,803,0.596206309,1.805937759,4.555651064
夏阳街道,青浦区,0.22344609,626,190.1176162,27482,1546.878328,653,0.336667358,3.854702451,24.54783163
徐泾镇,青浦区,0.260228575,708,211.6180114,64003,1651.753273,898,0.646508245,0.589838825,5.221351871
朱家角镇,青浦区,0.143616955,1870,216.842129,30352,494.2814427,1520,0.140379029,4.414701109,143.0616559
白鹤镇,青浦区,0.165502861,815,158.7927119,15826,819.7347365,890,0.343073221,4.091529705,47.31487376
盈浦街道,青浦区,0.271957507,400,172.9338007,23916,3226.615698,555,0.53285155,2.879193788,26.04545468
练塘镇,青浦区,0.205131436,1902,174.6498721,11101,569.8037451,1230,0.144396508,19.31750772,181.6081926
赵巷镇,青浦区,0.220131006,465,143.8463895,38098,1169.307946,923,0.403795932,3.322599682,13.67322887
重固镇,青浦区,0.244436814,389,76.45428343,38098,964.3853564,325,0.31900021,4.582053809,3.407758197
金泽镇,青浦区,0.158049518,1883,203.0739557,30089,567.0279027,804,0.11337425,29.06321458,138.154551
香花桥街道,青浦区,0.195425091,743,127.4051049,19287,557.2697045,835,0.484272945,3.516121834,16.36682289
南京西路街道,静安区,0.599842182,81,163.2473401,75659,26909.75947,566,0.854728358,1.156206595,10.98854474
曹家渡街道,静安区,0.577743996,52,274.975771,75371,49530.5301,236,0.874151422,0.061877853,0.492882587
江宁路街道,静安区,0.445376773,65,252.5290747,76940,36590.5172,405,0.881411845,0.117302861,0.79263939
石门二路街道,静安区,0.580904091,74,123.1313526,70195,30788.31501,311,0.857616358,0.524623953,4.800243821
静安寺街道,静安区,0.514768784,61,133.8496501,75498,22803.09589,517,0.879160112,0.12688816,1.104610106
半淞园路街道,黄浦区,0.437835097,112,423.2032421,48096,31325.12167,249,0.780571661,0.168093059,2.221931693
南京东路街道,黄浦区,0.657071625,247,347.8042564,49634,30696.50663,1099,0.771389871,0.931436219,14.86128281
外滩街道,黄浦区,0.639993521,206,304.9928476,119280,29476.5639,761,0.742378139,0.31804352,5.293752506
小东门街道,黄浦区,0.610873981,168,315.4201152,90241,25401.27192,219,0.685342852,0.186537732,2.518263332
老西门街道,黄浦区,0.680981989,124,333.4123561,94902,58131.20256,178,0.921546968,0.149567949,1.18149753
豫园街道,黄浦区,0.728644174,85,254.50292,83861,44958.88771,259,0.883565752,0.322986008,4.627478911
南桥镇,奉贤区,0.209350604,597,247.9552064,27271,1879.17873,1019,0.493021065,1.72427864,12.1957583
西渡街道,奉贤区,0.251156534,568,125.3764127,22469,1435.003948,461,0.364788576,1.840870924,4.169801076
浦江镇,闵行区,0.211723461,1350,430.2004937,14000,1733.334168,1442,0.430048502,2.796104201,39.27104853
浦锦街道,闵行区,0.217541016,475,188.1505437,31850,2589.225916,969,0.546228807,1.110817042,47.53628604
九亭镇,松江区,0.245046916,302,128.3267832,38370,1733.672801,552,0.653620557,2.110071214,16.68023671
九里亭街道,松江区,0.264127046,93,100.4315897,21400,5310.814984,373,0.800502016,0.326489373,3.266044612
