,STREET,AREA,road1,road2,gdp,price,pop,poi,build,access,access_5k,ln_access_5k,ln_road2,ln_gdp,ln_price,ln_pop,ln_poi
41,高境镇,宝山区,0.277262818,102,128.474868,47627,18373.27394,278,0.870115256,0.157668602,0.569594825,-0.5628300042486765,4.624972813284271,4.855733305440521,10.771155106297904,9.81865238443075,5.627621113690637
42,凌云路街道,徐汇区,0.381237189,81,329.2485818,49793,22267.42562,378,0.85368235,0.32760293,2.628934831,0.9665787569277614,4.394449154672439,5.79681303324889,10.81562969088395,10.010880155006296,5.934894195619588
43,华泾镇,徐汇区,0.298580116,120,188.4067947,64318,6285.674796,292,0.640230823,1.333412128,14.00128525,2.6391491289729974,4.787491742782046,5.23860342677855,11.07159480884204,8.746028481370805,5.676753802268282
44,天平路街道,徐汇区,0.317180996,78,358.8466961,122928,32362.75041,586,0.851606266,0.190728315,1.970536797,0.6783059914191897,4.356708826689592,5.8828952669227315,11.719354097107416,10.384763361689185,6.373319789577012
45,康健新村街道,徐汇区,0.392840119,159,345.2177778,58902,20570.69423,296,0.808523538,0.54759788,3.186245719,1.1588433331215657,5.0689042022202315,5.8441754578831935,10.983630324920576,9.931622731712888,5.69035945432406
46,徐家汇街道,徐汇区,0.37416012,137,432.2744543,116103,25761.29524,663,0.853929711,0.20955679,2.752118786,1.0123710826570214,4.919980925828125,6.069060697399217,11.662233007145423,10.15662846001014,6.4967749901858625
47,斜土路街道,徐汇区,0.311484967,94,265.0663648,135810,20191.36874,332,0.777785861,0.794583998,6.444545135,1.8632340574846922,4.543294782270004,5.579980227840608,11.819012129098114,9.91301050197586,5.805134968916488
48,枫林路街道,徐汇区,0.392003794,156,396.3901975,79575,35713.64678,262,0.903430277,0.299563961,3.016730917,1.1041737672699548,5.049856007249537,5.982399073340788,11.284455252150293,10.483288157469039,5.568344503761097
49,湖南路街道,徐汇区,0.437683141,60,192.5507784,94839,27145.21178,569,0.843840135,0.173932567,1.750247716,0.5597573299178837,4.0943445622221,5.260359902839088,11.459935996049522,10.20895594811424,6.343880434126331
50,漕河泾街道,徐汇区,0.378531748,163,356.3991042,58597,16499.42511,537,0.887836763,1.626186854,6.409578516,1.8577935146365154,5.093750200806762,5.876051182125482,10.97843877971537,9.7110808174635,6.285998094508865
51,田林街道,徐汇区,0.320821573,69,332.3648245,65675,19981.42176,353,0.843723443,0.497312592,2.990238913,1.0953532882238175,4.23410650459726,5.806233234577815,11.092473614553741,9.90255820883001,5.8664680569332965
